# ============================================
# ARQUIVO DE CONFIGURACAO DO LABIRINTO DE CRETA
# Gerado automaticamente.
# ============================================

# --------------------------------------------
# PARAMETROS GERAIS DO GRAFO
# --------------------------------------------
NUM_VERTICES: 69
NUM_ARESTAS: 68

# --------------------------------------------
# PARAMETROS DA SIMULACAO
# --------------------------------------------
ENTRADA: 1
SAIDA: 69
MINOTAURO_INICIO: 44
PERCEPCAO_DISTANCIA: 8
TEMPO_MAXIMO: 150

# --------------------------------------------
# DEFINICAO DAS ARESTAS (u, v, peso)
# --------------------------------------------
ARESTAS:
1 2 3
1 12 2
2 3 3
3 13 3
4 14 1
5 6 2
5 15 2
6 7 2
7 8 5
8 9 4
9 10 3
10 11 4
11 16 1
12 17 4
13 18 3
14 20 1
15 21 2
16 26 1
17 27 5
18 19 2
19 20 4
21 28 4
22 23 1
22 29 5
23 24 4
24 25 3
25 26 5
26 30 5
27 31 1
28 37 2
29 38 2
30 41 5
31 32 2
31 42 3
32 33 3
33 34 2
34 35 4
35 36 4
36 37 4
38 43 4
39 40 1
39 44 5
40 41 3
42 45 4
43 50 2
44 51 5
45 53 3
46 54 5
47 55 1
48 49 5
48 56 2
49 50 5
51 57 2
52 58 2
53 59 4
54 61 3
55 62 1
56 64 2
57 67 3
58 69 1
59 60 1
60 61 4
62 63 4
63 64 2
65 66 2
66 67 3
67 68 1
68 69 4
